BRAND,MODEL,TRIM,YEAR,IMAGE LINK,NAME,INTERFACE,POWER,CURRENT
Volkswagen,e-Golf,Limited Edition,2015,https://www.evspecifications.com/images/model/640172/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",7.2 kW,-
Volkswagen,e-Golf,SEL Premium,2017,https://www.evspecifications.com/images/model/f7c077/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",7.2 kW,-
Volkswagen,e-Golf,SEL Premium,2017,https://www.evspecifications.com/images/model/f7c077/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",7.2 kW,-
Volkswagen,e-Golf,SEL Premium,2016,https://www.evspecifications.com/images/model/32dd74/640/main.jpg,Onboard charger,"Type 1 (IEC 62196-3 CC, CCS1)",7.2 kW,-
Volkswagen,e-Golf,SEL Premium,2016,https://www.evspecifications.com/images/model/32dd74/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",7.2 kW,-
Volkswagen,e-Golf,SEL Premium,2019,https://www.evspecifications.com/images/model/68a979/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",7.2 kW,-
Volkswagen,e-Golf,SEL Premium,2019,https://www.evspecifications.com/images/model/68a979/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",7.2 kW,-
Volkswagen,e-up!,,2019,https://www.evspecifications.com/images/model/e4f07b/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",-,7.2 A
Volkswagen,e-up!,,2019,https://www.evspecifications.com/images/model/e4f07b/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",-,7.2 A
Volkswagen,e-Golf,Limited Edition,2017,https://www.evspecifications.com/images/model/0e7976/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",7.2 kW,-
Volkswagen,e-Golf,Limited Edition,2017,https://www.evspecifications.com/images/model/0e7976/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",7.2 kW,-
Nissan,Leaf,SV,2012,https://www.evspecifications.com/images/model/55b43/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",3.6 kW,-
Nissan,Leaf,SL,2012,https://www.evspecifications.com/images/model/96744/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",3.6 kW,-
Nissan,Leaf,SL,2012,https://www.evspecifications.com/images/model/96744/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,S,2013,https://www.evspecifications.com/images/model/7b505/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",3.6 kW,-
Nissan,Leaf,S,2013,https://www.evspecifications.com/images/model/7b505/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,S,2013,https://www.evspecifications.com/images/model/7b505/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,S,2014,https://www.evspecifications.com/images/model/381b8/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",3.6 kW,-
Nissan,Leaf,S,2014,https://www.evspecifications.com/images/model/381b8/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,S,2014,https://www.evspecifications.com/images/model/381b8/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,SL,2014,https://www.evspecifications.com/images/model/f290a/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SL,2014,https://www.evspecifications.com/images/model/f290a/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,S,2015,https://www.evspecifications.com/images/model/95aeb/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",3.6 kW,-
Nissan,Leaf,S,2015,https://www.evspecifications.com/images/model/95aeb/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,S,2015,https://www.evspecifications.com/images/model/95aeb/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,SV,2013,https://www.evspecifications.com/images/model/135f6/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SV,2013,https://www.evspecifications.com/images/model/135f6/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,SV,2015,https://www.evspecifications.com/images/model/f0dcc/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SV,2015,https://www.evspecifications.com/images/model/f0dcc/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,SL,2013,https://www.evspecifications.com/images/model/c54d7/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SL,2013,https://www.evspecifications.com/images/model/c54d7/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,SV,2014,https://www.evspecifications.com/images/model/ad359/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SV,2014,https://www.evspecifications.com/images/model/ad359/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,SL,2015,https://www.evspecifications.com/images/model/2379d/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SL,2015,https://www.evspecifications.com/images/model/2379d/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,S,2016,https://www.evspecifications.com/images/model/96bbe/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",3.6 kW,-
Nissan,Leaf,S,2016,https://www.evspecifications.com/images/model/96bbe/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,S,2016,https://www.evspecifications.com/images/model/96bbe/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,SV,2016,https://www.evspecifications.com/images/model/077ef/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SV,2016,https://www.evspecifications.com/images/model/077ef/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,S,2017,https://www.evspecifications.com/images/model/960711/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",3.6 kW,-
Nissan,Leaf,S,2017,https://www.evspecifications.com/images/model/960711/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,S,2017,https://www.evspecifications.com/images/model/960711/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,SL,2016,https://www.evspecifications.com/images/model/d62c10/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SL,2016,https://www.evspecifications.com/images/model/d62c10/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,SL,2017,https://www.evspecifications.com/images/model/7a2813/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SL,2017,https://www.evspecifications.com/images/model/7a2813/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,S,2018,https://www.evspecifications.com/images/model/0e5c14/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,S,2018,https://www.evspecifications.com/images/model/0e5c14/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,SV,2018,https://www.evspecifications.com/images/model/0da615/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SV,2018,https://www.evspecifications.com/images/model/0da615/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,SL,2018,https://www.evspecifications.com/images/model/09c216/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SL,2018,https://www.evspecifications.com/images/model/09c216/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,SV,2017,https://www.evspecifications.com/images/model/9bf012/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SV,2017,https://www.evspecifications.com/images/model/9bf012/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Nissan,Leaf,SV,2019,https://www.evspecifications.com/images/model/f17918/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SV,2019,https://www.evspecifications.com/images/model/f17918/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",6.6 kW,-
Nissan,Leaf,SV,2019,https://www.evspecifications.com/images/model/f17918/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
Volkswagen,e-Golf,SE,2019,https://www.evspecifications.com/images/model/e1d178/640/main.jpg,Onboard charger,"Type 1 (IEC 62196-3 CC, CCS1)",7.2 kW,-
Volkswagen,e-Golf,SE,2019,https://www.evspecifications.com/images/model/e1d178/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",7.2 kW,-
Nissan,Leaf,SV Plus,2019,https://www.evspecifications.com/images/model/bbbd9a/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",6.6 kW,-
Nissan,Leaf,SV Plus,2019,https://www.evspecifications.com/images/model/bbbd9a/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SV Plus,2019,https://www.evspecifications.com/images/model/bbbd9a/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",100 kW,-
Audi,e-tron 55 quattro,Premium Plus,2019,https://www.evspecifications.com/images/model/b59c68/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",9.6 kW,-
Nissan,Leaf,SL,2019,https://www.evspecifications.com/images/model/7a7a19/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,SL,2019,https://www.evspecifications.com/images/model/7a7a19/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",6.6 kW,-
Nissan,Leaf,SL,2019,https://www.evspecifications.com/images/model/7a7a19/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",50 kW,-
NIO,ES8,70 kWh,2018,https://www.evspecifications.com/images/model/81eba9/640/main.jpg,DC charging port,-,-,250 A
NIO,ES8,70 kWh,2018,https://www.evspecifications.com/images/model/81eba9/640/main.jpg,AC charging port,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",7 kW,32 A
NIO,ES8,84 kWh,2019,https://www.evspecifications.com/images/model/773caa/640/main.jpg,DC charging port,-,-,250 A
NIO,ES8,84 kWh,2019,https://www.evspecifications.com/images/model/773caa/640/main.jpg,AC charging port,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",7 kW,32 A
Audi,e-tron 55 quattro,Prestige,2019,https://www.evspecifications.com/images/model/818469/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",9.6 kW,-
Audi,e-tron 55 quattro,,2019,https://www.evspecifications.com/images/model/fff46a/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",11 kW,-
Audi,e-tron 55 quattro,,2019,https://www.evspecifications.com/images/model/fff46a/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",22 kW,-
e.GO,Life,40,2019,https://www.evspecifications.com/images/model/0e32a6/640/main.jpg,On-board charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",3.7 kW,16 A
e.GO,Life,60,2019,https://www.evspecifications.com/images/model/16f9a7/640/main.jpg,On-board charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",3.7 kW,16 A
Hyundai,KONA Electric,39 kWh,2019,https://www.evspecifications.com/images/model/42546b/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",7.2 kW,-
NIO,ES6,Standard 70 kWh,2019,https://www.evspecifications.com/images/model/de57ab/640/main.jpg,DC charging port,-,-,250 A
NIO,ES6,Standard 70 kWh,2019,https://www.evspecifications.com/images/model/de57ab/640/main.jpg,AC charging port,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",7 kW,32 A
Hyundai,KONA Electric,64 kWh,2019,https://www.evspecifications.com/images/model/2dee6c/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",7.2 kW,-
Hyundai,IONIQ Electric,28 kWh,2019,https://www.evspecifications.com/images/model/f21a6d/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",6.6 kW,-
Hyundai,IONIQ Electric,28 kWh,2019,https://www.evspecifications.com/images/model/f21a6d/640/main.jpg,Onboard charger,"Type 1 (IEC 62196-3 CC, CCS1)",6.6 kW,-
Hyundai,IONIQ Electric,38.3 kWh,2020,https://www.evspecifications.com/images/model/ced6a3/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",7.2 kW,48 A
Nissan,Leaf,S Plus,2019,https://www.evspecifications.com/images/model/68ad67/640/main.jpg,Onboard charger,"Type 1 (SAE J1772, IEC 61851-1, J Plug, Yazaki)",6.6 kW,-
Nissan,Leaf,S Plus,2019,https://www.evspecifications.com/images/model/68ad67/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-2, Mennekes, SAE J3068)",6.6 kW,-
Nissan,Leaf,S Plus,2019,https://www.evspecifications.com/images/model/68ad67/640/main.jpg,Quick charge port,"Type 4 (IEC 62196-3 AA, CHAdeMO)",100 kW,-
BMW,i3s,33 kWh,2018,https://www.evspecifications.com/images/model/aa4f81/640/main.jpg,Onboard charger,"Type 1 (IEC 62196-3 CC, CCS1)",11 kW,-
BMW,i3s,33 kWh,2018,https://www.evspecifications.com/images/model/aa4f81/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",11 kW,-
Audi,Q4 e-tron,concept,2019,https://www.evspecifications.com/images/model/15509c/640/main.jpg,Onboard charger,"Type 2 (IEC 62196-3 FF, CCS2)",-,-
